structure_id,n_node,n_edge,total_length,mean_edge_len,len_cv,deg2_count,degree_entropy,orient_entropy,anisotropy,radius_gyration,moment_total,fiedler_value,lambda_max,spectral_gap_ratio,aspl_giant,boundary_frac,fractal_dim_box,rigidity_index,redundancy_ratio,kcore_frac,avg_shortest_dy,straightness,edge_betweenness_max,edge_betweenness_gini,contact_nodes,contact_edges
0,1096,1152,49.66464758116393,0.04311167324753814,1.4703814779144087,888,0.8489189583843519,3.941786162688691,0.07652950180852154,0.8393279664935088,1779.926973054788,0.0,4.61059946682385,0.0,43.37476097175388,0.041666666666666664,1.0776624683533733,-1037.0,0.049479166666666664,0.0018248175182481751,2.0133439015536068,1.0066719507763,0.15806118038697115,0.4311271779157638,1096,1152
1,1096,1152,56.714642473305744,0.049231460480300124,1.6871091797246545,888,0.8489189583843519,3.974223660944616,0.06990780864559024,0.8423353571400612,1788.999436500854,0.0,4.6083310520531064,0.0,44.16613325036369,0.027777777777777776,1.015305959263981,-1037.0,0.049479166666666664,0.0018248175182481751,3.029052513357518,1.3336658748718004,0.15692162685232647,0.4578489887878182,1096,1152
2,1060,1120,52.49542256094074,0.046870913000839946,1.6142746315758607,860,0.8349132007482896,4.033008991527846,0.07345102164305294,0.8275527134043925,1719.5546550033528,0.0008447637173779702,4.612718912772504,0.00018313791352832215,42.58274270850036,0.025,1.0609497400620798,-997.0,0.054464285714285715,0.0018867924528301887,3.209413744945897,1.4056167725753235,0.15760121710255595,0.44291610570793744,1060,1120
3,1060,1120,53.193442890636035,0.04749414543806789,1.5654384063594458,860,0.8349132007482896,4.0357195489506275,0.05321741333988525,0.8286018862340672,1721.1989491594245,0.000905311716956709,4.6107845030248225,0.00019634656886753199,43.63820621091453,0.03571428571428571,1.0646146162775447,-997.0,0.054464285714285715,0.0018867924528301887,1.9999999999999982,0.9999999999994991,0.1437331597607405,0.4256908169966449,1060,1120
4,1060,1120,50.23515332724601,0.04485281547075537,1.4297528032164406,860,0.8349132007482896,4.067083622490785,0.08334175144695863,0.8313729897383878,1723.7362794842588,0.0,4.611252856323023,0.0,43.45192765991888,0.030357142857142857,1.0712607729519221,-997.0,0.054464285714285715,0.0018867924528301887,2.0978126457837187,1.0094537094787686,0.1498261764453589,0.3953756762004692,1060,1120
5,1096,1152,53.468405882708936,0.04641354677318484,1.6378855584611316,888,0.8489189583843519,4.067526935205588,0.0718390171238084,0.8456031322619258,1791.5882821901496,0.0007949123462753853,4.61045470560286,0.00017241517313014586,44.29644368896444,0.027777777777777776,1.0223301885759102,-1037.0,0.049479166666666664,0.0018248175182481751,3.3508969945970515,1.4841780522532768,0.15988891027649274,0.4136619733684656,1096,1152
6,1096,1152,51.22463689658885,0.044465830639400045,1.5114718068106658,888,0.8489189583843519,4.061897337209346,0.03737481936159074,0.8348745637828652,1776.3854900783722,0.0008677533336149639,4.609907955597158,0.00018823658562665786,43.327347265273474,0.03298611111111111,1.0639178336114463,-1037.0,0.049479166666666664,0.0018248175182481751,2.0134241233384875,1.0067120616687404,0.1507221513029002,0.45375943367909244,1096,1152
7,1096,1152,50.901155024207114,0.04418503040295756,1.4201373900664103,888,0.8489189583843519,3.9626678874419476,0.16371725972992393,0.8457600867155661,1791.5705570512619,0.0007580849435095669,4.609295110250196,0.00016446873662386374,44.18702129787021,0.027777777777777776,1.01391437789331,-1037.0,0.049479166666666664,0.0018248175182481751,2.865237514035422,1.2639631034505967,0.1348866860084528,0.41673828133475965,1096,1152
8,1042,1104,49.35562617759456,0.04470618313187913,1.3799748101981142,846,0.8269010642234425,4.046936524609668,0.04115362082212302,0.8347657239955684,1704.3650084393523,0.0,4.611179706121374,0.0,43.04582196192611,0.02355072463768116,0.9969777814874548,-977.0,0.057065217391304345,0.0019193857965451055,2.1278475567577244,1.0034002261691777,0.2170650519960861,0.47441711253344176,1042,1104
9,1132,1184,51.20603792870136,0.043248342845186964,1.694811364396461,916,0.8607085602223378,3.9842771125489422,0.07413226024143287,0.8593604875823161,1852.5754234861151,0.0007218203323850985,4.608317700703162,0.0001566342381895247,43.62330468361905,0.030405405405405407,1.0269285562654025,-1077.0,0.044763513513513514,0.0017667844522968198,2.2399339275569985,1.052716328145737,0.1505400709962405,0.4949188299464427,1132,1184
