id,grid_x,grid_y,n_internal,seed,n_nodes,n_edges,target_stretch,max_force,max_stretch,mean_stretch,std_stretch,max_displacement,energy,sim_time,feat_n_node,feat_n_edge,feat_total_length,feat_mean_edge_len,feat_len_cv,feat_deg2_count,feat_deg4_count,feat_degree_entropy,feat_orient_entropy,feat_anisotropy,feat_radius_gyration,feat_moment_total,feat_clustering_coef,feat_fiedler_value,feat_lambda_max,feat_spectral_gap_ratio,feat_aspl_giant,feat_boundary_frac,feat_fractal_dim_box,feat_rigidity_index,feat_redundancy_ratio,feat_max_k_core,feat_kcore_frac,feat_triangle_count,feat_triangle_ratio,feat_quad_count,feat_quad_ratio,feat_avg_shortest_dy,feat_straightness,feat_mesh_median_area,feat_mesh_cv_area,feat_mesh_max_area_ratio,feat_edge_betweenness_max,feat_edge_betweenness_gini,feat_largest_pore_ratio,feat_top_area_sum_ratio,feat_top_convexity_min,feat_top_convexity_mean,feat_top_circularity_min,feat_big_pore_count,feat_total_pore_count,feat_total_pore_ratio,feat_center_pore_ratio,feat_edge_pore_ratio,feat_pore_area_cv,feat_pore_area_skew,feat_pore_area_kurtosis,feat_pore_area_max_over_mean,feat_pore_large_area_frac,feat_pore_count_large_frac,feat_pore_density,feat_pore_spatial_cv,feat_contact_thick,feat_contact_canvas_size,feat_contact_nodes,feat_contact_edges,feat_contact_edge_pixel_union_count,feat_contact_edge_pixel_sum,feat_contact_raw_overlap_pixel_count,feat_contact_overlap_pixel_count,feat_contact_overlap_pair_count,feat_contact_overlap_pairs_per_edge,feat_contact_edges_with_contact_count,feat_contact_edges_with_contact_ratio,feat_contact_overlap_pixel_ratio_union,feat_contact_raw_overlap_pixel_ratio_union,feat_contact_overlap_pixel_ratio_canvas,feat_contact_overlap_length_px_approx,feat_contact_overlap_length_ratio_centerline,feat_contact_centerline_length_px,feat_contact_overlap_pair_size_sum,feat_contact_overlap_pair_size_mean,feat_contact_overlap_pair_size_median,feat_contact_overlap_pair_size_max,feat_contact_overlap_pair_size_std,feat_contact_overlap_pair_size_q75,feat_contact_overlap_pair_size_q90,feat_contact_overlap_pair_size_q95,feat_contact_overlap_cc_count,feat_contact_overlap_cc_size_sum,feat_contact_overlap_cc_size_mean,feat_contact_overlap_cc_size_median,feat_contact_overlap_cc_size_max,feat_contact_overlap_cc_size_std,feat_contact_overlap_cc_size_q75,feat_contact_overlap_cc_size_q90,feat_contact_overlap_cc_size_q95,feat_contact_edge_contact_degree_mean,feat_contact_edge_contact_degree_median,feat_contact_edge_contact_degree_max,feat_contact_edge_contact_degree_std,feat_contact_edge_contact_degree_q75,feat_contact_edge_contact_degree_q90,feat_contact_edge_contact_degree_q95
20,5,4,16,153,1045,1400,1.5,170928.66214881698,2.70928662148817,1.2813144767871651,0.38291967907285074,25.0,0.0,16.243374586105347,1045,1400,1790.7915215686635,1.279136801120474,0.6651509880964921,155,0,1.008090085047712,4.019476072408492,0.05419243381429004,18.98220168761231,48590.53428145031,0.0,0.0037007936592257096,5.7564655627572705,0.0006428933898550824,24.199121890410456,0.06428571428571428,0.029966019443677654,-687.0,0.2542857142857143,2,0.0019138755980861245,0,0.0,0,0.0,40.06956433584707,1.0017391083961515,0.0,0.0,0.0,0.09236298946398104,0.4736701515853845,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,1045,1400,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
21,2,5,19,160,562,721,1.5,91889.64587827373,1.9188964587827373,1.246380514205773,0.1705105243059056,12.083077064811453,0.0,15.380829095840454,562,721,904.8803386953323,1.2550351438215428,0.6466710379428598,80,0,1.1546825695455494,3.872047051643215,0.03363684838135855,16.04183960820808,20485.836709230978,0.0,0.002833882690608395,5.737043220196234,0.0004939622348724381,20.860734199859174,0.11650485436893204,0.043302949313671374,-400.0,0.22191400832177532,2,0.0035587188612099642,0,0.0,0,0.0,50.11489627838496,1.0022979255676792,0.0,0.0,0.0,0.1673683194640372,0.4910360993152928,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,562,721,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
22,4,3,21,167,620,828,1.5,174900.68133612396,2.7490068133612398,1.257811040670395,0.34922115765571365,22.038827198489614,0.0,15.361518621444702,620,828,1058.5915352669367,1.2784921923513728,0.7950805069116726,76,0,0.9952373457358483,3.9570810016468627,0.05938058649484047,14.809574705771853,22330.062114541157,0.0,0.003978429170001861,5.793142533697562,0.0006867480209332741,18.595174318620042,0.07729468599033816,0.03047119688462356,-409.0,0.2524154589371981,2,0.0032258064516129032,0,0.0,0,0.0,30.08546047353812,1.0028486824512373,0.0,0.0,0.0,0.16689396621545385,0.5813844156562112,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,620,828,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23,5,3,12,174,882,1127,1.5,229323.1497131706,3.293231497131706,1.2517531041242873,0.38445763176500364,26.781774269713033,0.0,15.25311827659607,882,1127,1320.562564609442,1.171750279156559,0.7826408762906559,172,0,1.2125732575824617,3.82338217367929,0.09350283078350567,17.502813023958762,35427.24272896172,0.0,0.002731455589621885,5.714550012825652,0.0004779826204147253,22.330561282401725,0.10204081632653061,0.06123616220983302,-634.0,0.21827861579414373,2,0.0022675736961451248,0,0.0,0,0.0,30.530006494752822,1.0176668831583935,0.0,0.0,0.0,0.14969403017463984,0.5438774467139659,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,882,1127,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
24,5,3,10,181,808,1066,1.5,179376.75253017887,2.7937675253017886,1.2828610369769942,0.3938382549274093,26.01080934715754,0.0,15.633027076721191,808,1066,1350.4399230415183,1.2668291960989853,0.609236979890877,124,0,1.0733522992135311,3.8600891920313374,0.020691625287570032,17.298323367107272,33326.819026231795,0.0,0.003828850613586649,5.721512441319558,0.0006692025321722324,21.69604144429313,0.08067542213883677,0.03799797987268986,-547.0,0.24296435272045028,2,0.0024752475247524753,0,0.0,0,0.0,30.45688636240397,1.015229545413432,0.0,0.0,0.0,0.09952370780351194,0.4396164763819858,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,808,1066,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
25,3,3,8,188,480,630,1.5,139581.32788679976,2.3958132788679976,1.2643717716726568,0.2645421942902698,15.871359674400768,0.0,15.087522268295288,480,630,803.0909675649661,1.2747475675634383,0.6950800267989671,60,0,1.061278124459133,4.040270420129217,0.06825363282963005,12.679990992499643,14478.950189853396,0.01875,0.008180198540241783,5.6680856516010865,0.0014432030570902977,16.627453027139875,0.09523809523809523,0.05120791733216872,-327.0,0.2396825396825397,2,0.004166666666666667,9,0.014285714285714285,0,0.0,30.00480414478412,1.0001601381594374,0.0,0.0,0.0,0.12406342326101989,0.4288207597786505,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,480,630,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
26,3,2,22,195,333,427,1.5,137859.03133916136,2.3785903133916135,1.2581228738645973,0.2816504804922523,16.24363733910478,0.0,14.542624235153198,333,427,547.1160848728914,1.2813023064938909,0.6656379028837175,41,0,1.1309211884564792,3.8937929241665477,0.07251260234848905,10.966090550667174,8374.572927579264,0.0,0.007691257045385211,5.65371786146696,0.0013603892578021594,14.310539455117768,0.12646370023419204,0.01908800365278992,-236.0,0.2224824355971897,2,0.006006006006006006,0,0.0,6,0.01405152224824356,20.2641265330102,1.0132063266504594,0.0,0.0,0.0,0.17722266986607127,0.45725696761883294,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,333,427,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
27,3,5,6,202,774,1035,1.5,132439.47221263338,2.3243947221263337,1.2505136957656005,0.2533143993591956,15.0,0.0,15.436574935913086,774,1035,1285.8981799743742,1.2424137004583327,0.6201551017600312,96,0,0.9919145785759156,4.023540426399927,0.1003632429947943,17.155649167832074,32271.125340567552,0.0,0.0030913169738813998,5.663367925902968,0.0005458442775264286,20.210629414576584,0.07536231884057971,0.018171450832401424,-510.0,0.2531400966183575,2,0.002583979328165375,0,0.0,0,0.0,49.99999999999998,0.9999999999999796,0.0,0.0,0.0,0.15717756200038055,0.5733937098979767,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,774,1035,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
28,3,3,8,209,492,639,1.5,122678.30847761223,2.2267830847761223,1.2312301764544538,0.25982725538358975,16.75087202311356,0.0,13.959807872772217,492,639,802.1284366579782,1.2552870683223447,0.6705485250244253,66,0,1.107296744294527,4.022959641586071,0.05720932939016101,12.774132773619737,14786.514163401178,0.0,0.006647001174213631,5.635635716741772,0.0011794589835652822,16.263060288444024,0.10328638497652583,0.029317010317638833,-342.0,0.23161189358372458,2,0.0040650406504065045,0,0.0,18,0.028169014084507043,30.075495996215636,1.0025165332071546,0.0,0.0,0.0,0.14742630160208478,0.507832073741474,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,492,639,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
29,3,4,20,216,634,840,1.5,102319.58944138384,2.0231958944138384,1.2639532546574703,0.26025221608142,15.090357554884157,0.0,14.450971126556396,634,840,1082.8214686076456,1.2890731769138637,0.6585412444644706,86,0,1.040336304585003,3.961356039183907,0.044401202649255685,14.866897697975455,22658.87857033679,0.0,0.005796418718863918,5.6663308053287285,0.0010229580513392953,19.045848470803993,0.08095238095238096,0.0553772267685178,-425.0,0.24642857142857144,2,0.0031545741324921135,0,0.0,0,0.0,39.99999999999999,0.9999999999999748,0.0,0.0,0.0,0.10335673167762655,0.4283579009676367,0.0,0.0,1.0,1.0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,128,634,840,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
